ID_H,ID_W,G6,F14
1001.0,5.0,2.0,1500000.0
1002.0,5.0,2.0,1329000.0
1003.0,5.0,2.0,140000.0
1004.0,5.0,2.0,156000.0
1005.0,5.0,3.0,670000.0
1006.0,5.0,2.0,350000.0
1007.0,5.0,2.0,11280000.0
1008.0,5.0,2.0,543000.0
1009.0,5.0,3.0,550000.0
1012.0,5.0,2.0,250000.0
1013.0,5.0,3.0,181000.0
1014.0,5.0,3.0,530000.0
1015.0,5.0,2.0,72000.0
1016.0,5.0,1.0,16000.0
1017.0,5.0,3.0,420000.0
1018.0,5.0,2.0,448000.0
1019.0,5.0,2.0,261000.0
1020.0,5.0,2.0,201000.0
1021.0,5.0,2.0,190000.0
1022.0,5.0,3.0,790000.0
1024.0,5.0,2.0,550000.0
1025.0,5.0,1.0,124662.0
1026.0,5.0,2.0,530000.0
1028.0,5.0,2.0,850000.0
1030.0,5.0,2.0,360000.0
2001.0,5.0,2.0,534000.0
2002.0,5.0,2.0,240000.0
2003.0,5.0,2.0,105000.0
2004.0,5.0,2.0,430000.0
2006.0,5.0,2.0,168750.0
2007.0,5.0,2.0,260000.0
2008.0,5.0,2.0,280000.0
2009.0,5.0,2.0,184000.0
2010.0,5.0,2.0,390000.0
3001.0,5.0,2.0,322000.0
3002.0,5.0,3.0,770000.0
3003.0,5.0,2.0,342000.0
3004.0,5.0,3.0,100900.0
3005.0,5.0,2.0,215000.0
3006.0,5.0,3.0,52000.0
3007.0,5.0,2.0,426000.0
3009.0,5.0,2.0,169000.0
3010.0,5.0,3.0,188300.0
4002.0,5.0,2.0,998000.0
4003.0,5.0,2.0,233000.0
4004.0,5.0,2.0,692000.0
4005.0,5.0,2.0,400000.0
4006.0,5.0,2.0,100000.0
4007.0,5.0,2.0,456000.0
4008.0,5.0,2.0,342000.0
4009.0,5.0,2.0,260000.0
4010.0,5.0,2.0,314000.0
5001.0,5.0,2.0,190000.0
5002.0,5.0,2.0,97000.0
5003.0,5.0,2.0,180000.0
5004.0,5.0,2.0,360150.0
5005.0,5.0,2.0,88000.0
5006.0,5.0,2.0,358000.0
5007.0,5.0,2.0,159000.0
5008.0,5.0,2.0,260000.0
5009.0,5.0,2.0,266000.0
5010.0,5.0,2.0,340000.0
6001.0,5.0,2.0,806000.0
6002.0,5.0,2.0,120000.0
6003.0,5.0,2.0,323000.0
6004.0,5.0,2.0,80225.0
6005.0,5.0,2.0,195000.0
6006.0,5.0,2.0,414000.0
6007.0,5.0,2.0,98000.0
6009.0,5.0,2.0,687605.0
6010.0,5.0,3.0,770400.0
7001.0,5.0,2.0,488000.0
7002.0,5.0,2.0,127000.0
7004.0,5.0,2.0,180000.0
7005.0,5.0,2.0,190497.0
7006.0,5.0,1.0,155000.0
7007.0,5.0,2.0,250000.0
7008.0,5.0,2.0,272000.0
7009.0,5.0,2.0,272000.0
7010.0,5.0,2.0,377000.0
8001.0,5.0,3.0,231407.0
8002.0,5.0,2.0,100000.0
8003.0,5.0,3.0,395000.0
8004.0,5.0,2.0,179000.0
8005.0,5.0,2.0,210000.0
8006.0,5.0,3.0,387000.0
8007.0,5.0,2.0,399000.0
8008.0,5.0,2.0,190000.0
8009.0,5.0,2.0,230000.0
8010.0,5.0,2.0,50000.0
9001.0,5.0,3.0,300000.0
9003.0,5.0,3.0,113000.0
9004.0,5.0,2.0,1200000.0
9005.0,5.0,2.0,260000.0
9006.0,5.0,2.0,185000.0
9007.0,5.0,3.0,345000.0
9009.0,5.0,2.0,450000.0
9012.0,5.0,2.0,1339000.0
9013.0,5.0,3.0,72000.0
9014.0,5.0,2.0,205000.0
9015.0,5.0,2.0,189000.0
9016.0,5.0,2.0,426000.0
9017.0,5.0,2.0,180000.0
9019.0,5.0,2.0,340000.0
9020.0,5.0,2.0,146000.0
9021.0,5.0,2.0,300000.0
9022.0,5.0,2.0,700000.0
9023.0,5.0,3.0,233000.0
